message,gpt-4o.hebrew_translation,gpt-4o.english_translation,gpt-4o-mini.hebrew_translation,gpt-4o-mini.english_translation,google-translate.hebrew_translation,google-translate.english_translation
🛑مصادر محليةاشتباكات مسلحة مع قوات الاحتلال في مدينة طوباس,מקורות מקומיים: ירי לעבר כוחות הכיבוש בעיר טובאס,Local sources: Gunfire confrontation with occupation forces in the city of Tubas,מקורות מקומיים: חילופי אש עם כוחות הכיבוש בעיר טובאס,Local sources: Armed clashes with occupation forces in the city of Tubas,🛑מקורות מקומיים: עימותים חמושים עם כוחות הכיבוש בעיר טובאס,🛑Local sources: Armed clashes with the occupation forces in the city of Tubas
📍صحفي إسرائيلي متطرف أراد الاحتفال باغتيال يحيى السنوار توجه إلى باب العامود في القدس وحاول توزيع الحلوى على الفلسطينيين,"כתב ישראלי קיצוני רצה לחגוג את ההתנקשות ביהיא סנוואר, הגיע לשער שכם וניסה לחלק ממתקים לפלסטינים","An extremist Israeli journalist wanted to celebrate the assassination of Yahya Sinwar, went to Damascus Gate in Jerusalem, and tried to distribute sweets to Palestinians",עיתונאי ישראלי קיצוני רצה לחגוג את חיסולו של יחיא סנואר ופנה לשער שכם בירושלים וניסה לחלק ממתקים לפלסטינים,"An extremist Israeli journalist wanted to celebrate the assassination of Yahya Sinwar, headed to the Damascus Gate in Jerusalem, and tried to distribute sweets to Palestinians",📍עיתונאי ישראלי קיצוני שביקש לחגוג את רצח יחיא סינוואר יצא לשער דמשק בירושלים וניסה לחלק ממתקים לפלסטינים.,📍An extremist Israeli journalist who wanted to celebrate the assassination of Yahya Sinwar went to Bab al-Amoud in Jerusalem and tried to distribute sweets to the Palestinians
🛑الجو كئيب .. النفس ضيق .. التفكير كثير ومحدا مصدق .. الحزن داخلي لساته .. قهر ونكد وفش نفس لأي اشي ..هاد حال كل شريف الان,המזג אוויר עגום .. הנשימה כבדה .. המחשבה מרובה ואיש לא מאמין .. העצב עדיין בתוכי .. כעס ודכאון ואין נשימה לכלום .. כך מצבו של כל אדם כנה כעת,The weather is gloomy .. the breathing is heavy .. a lot of thinking and no one believes .. the sadness is still inside .. frustration and gloom and there's no breath for anything .. that's the state of every honest person now,המזג אוויר מדכא.. הנשמה צרה.. יש חשיבה רבה ולאף אחד לא מאמין.. העצב פנימי עדיין.. תסכול ועצב ואין כוח לכלום.. זה המצב של כל אדם ישר כרגע,The weather is gloomy.. the soul is tight.. there is a lot of thinking and no one believes.. the sadness is still internal.. frustration and misery and no energy for anything.. that's the state of every honorable person now,"🛑 מזג האוויר קודר.. הנשמה קצרה.. חושבים הרבה ואף אחד לא מאמין בזה.. העצב בתוכי עדיין שם.. דיכוי, מצוקה, וחוסר נשימה לכל דבר.. זה המצב של כל אדם נכבד עכשיו.","🛑The atmosphere is gloomy.. The soul is tight.. Thinking a lot and no one believes me.. The sadness is still inside me.. Oppression, depression and lack of desire for anything.. This is the state of every honorable person now."
🛑مصادر  محلية تحليق مكثف لطائرات الاستطلاع فوق وسط مدينة خانيونس,מקורות מקומיים: ריחוף מסיבי של מטוסי סיור מעל מרכז העיר ח'אן יונס,Local sources: Intensive flight of reconnaissance planes over the center of Khan Yunis,מקורות מקומיים: טיסה אינטנסיבית של מטוסי ריגול מעל מרכז העיר חאן יونس,Local sources: Intense flights of reconnaissance planes over the city center of Khan Younis,🛑מקורות מקומיים: טיסה אינטנסיבית של מטוסי סיור מעל מרכז חאן יונס,🛑Local sources: Intensive flights of reconnaissance aircraft over the center of Khan Yunis city
🛑مصادر محلية شهداء ومصابون بقصف طائرات الاحتلال منزلاً في مخيم الشاطئ غربي مدينة غزة,מקורות מקומיים: הרוגים ופצועים בהפגזת מטוסי הכיבוש על בית במחנה השאטי מערבית לעיר עזה,Local sources: Martyrs and injuries in the bombing of an occupation plane on a house in the Shati refugee camp west of Gaza City,מקורות מקומיים: שורדים ונפגעים בהפצצת מטוסי הכיבוש על בית במחנה הפליטים אלשאטי מערבית לעיר עזה,Local sources: Martyrs and injured in the bombing of occupation planes on a house in the al-Shati refugee camp west of Gaza City,"🛑מקורות מקומיים: אנוסים ונפצעו כשמטוסי כיבוש הפציצו בית במחנה אלשאטי, ממערב לעיר עזה.","🛑Local sources: Martyrs and wounded as occupation aircraft bombed a house in Al-Shati camp, west of Gaza City."
🛑حزب اللهاستهدفنا بالصواريخ تجمعا لجنود العدو الإسرائيلي في محيط بلدة عيتا الشعب جنوبي #لبنان,חזבאללה: תקפנו בטילים ריכוז של חיילי האויב הישראלי בסמוך לעיירה עיתא א-שעב בדרום לבנון,Hezbollah: We targeted with rockets a gathering of Israeli enemy soldiers near the town of Ayta al-Shaab in southern Lebanon,חיזבאללה: התקפנו את אויבי ישראל בנשק טילים סמוך לעיתות השבחה בדרום #לבנון,Hezbollah: We targeted a gathering of Israeli enemy soldiers with rockets near Aita ash-Shab in southern #Lebanon,"🛑חיזבאללה תקף בטילים התקהלות של חיילי אויב ישראלים בסביבת העיירה עיתא א-שעב, דרומית ל#לבנון.","🛑Hezbollah targeted with missiles a gathering of Israeli soldiers in the vicinity of the town of Aita al-Shaab, southern #Lebanon."
🛑في سماء شرق غزة وشمال غزة .. الاحتلال يطلق قنابل الانارة,בשמי מזרח עזה וצפון עזה .. הכיבוש יורה פצצות תאורה,In the skies of east and north Gaza .. the occupation fires illumination bombs,בשמי מזרח עזה וצפון עזה.. הכיבוש משגר רימוני תאורה,In the skies of East Gaza and North Gaza.. the occupation launches illumination bombs,🛑 בשמי מזרח עזה וצפון עזה...הכיבוש משגר פצצות התלקחות,🛑In the sky of eastern Gaza and northern Gaza...the occupation launches flares
🛑سي إن إن عن مسؤولين أمريكيينالمساعدة في استعادة الرهائن في غزة مرتبطة ارتباطا وثيقا بتتبع قادة حماس,סי.אנ.אן: עזרה בשחרור החטופים בעזה קשורה באופן הדוק למעקב אחר מנהיגי חמאס,CNN: Assistance in recovering hostages in Gaza is closely tied to tracking Hamas leaders,סי אן אן: סוגיית סיוע במציאת בני הערובה בעזה כרוכה במעקב אחר מנהיגי חמאס,CNN: U.S. officials say assistance in recovering hostages in Gaza is closely related to tracking Hamas leaders,🛑CNN: הסיוע של פקידים אמריקאים בחילוץ בני ערובה בעזה קשור קשר הדוק למעקב אחר מנהיגי חמאס,🛑CNN quoting US officials: Helping to recover the hostages in Gaza is closely linked to tracking down Hamas leaders
🛑مصادر محلية مستوطنون يهاجمون الأهالي ويحرقون مركبات المواطنين في قرية جالود جنوب مدينة نابلس,מקורות מקומיים: מתנחלים תוקפים את התושבים ושורפים כלי רכב של תושבים בכפר ג'אלוד דרומית לעיר שכם,Local sources: Settlers attack residents and burn citizens' vehicles in the village of Jalud south of Nablus City,מקורות מקומיים: מתנחלים תוקפים את התושבים ושרפים רכבים של אזרחים בכפר ג'אלוד מדרום לעיר נאפלאס,Local sources: Settlers attack residents and burn citizens' vehicles in the village of Jalud south of Nablus,🛑מקורות מקומיים: מתנחלים תוקפים תושבים ושורפים רכבים של אזרחים בכפר ג&#39;אלוד מדרום לשכם.,"🛑Local sources: Settlers attack residents and burn citizens&#39; vehicles in Jalud village, south of Nablus"
🛑متابعةلحظة وقوع حادث السير في شارع القدس,מעקב: רגע התרחשות תאונת הדרכים ברחוב ירושלים,Follow-up: Moment of the traffic accident on Jerusalem Street,מעקב: רגע התרחשות תאונת הדרכים ברחוב ירושלים,Follow-up: Moment of the traffic accident on Jerusalem Street,🛑בעקבות הרגע בו אירעה תאונת הדרכים ברחוב אלקודס,🛑Following the moment of the traffic accident on Jerusalem Street
